rank,verb,collocations,ru
8761,accennare,accennare un commento;accennare un dubbio;accennare un gesto;accennare un movimento;accennare un saluto;accennare un sorriso;accennare un sospetto;accennare una critica;accennare una direzione,намекать/указывать/начинать
8808,ereditare,ereditare i capelli del padre;ereditare il carattere della madre;ereditare un bene;ereditare un debito;ereditare un patrimonio;ereditare un titolo;ereditare un'azienda;ereditare una fortuna;ereditare una malattia;ereditare una tradizione,наследовать/унаследовать
8815,torturare,continuare a torturare;essere torturato;torturare il corpo;torturare la coscienza;torturare la mente;torturare qualcuno;torturare un prigioniero,пытать/мучить/истязать
8846,piazzare,essere ben piazzato;piazzare un articolo;piazzare un colpo;piazzare un oggetto;piazzare un ordine;piazzare un sospetto;piazzare un'esca;piazzare una bomba;piazzare una pubblicità,размещать/устанавливать/расставлять
8860,avanzare,avanzare dei sospetti;avanzare un dubbio;avanzare un quesito;avanzare un suggerimento;avanzare un'ipotesi;avanzare un'obiezione;avanzare una critica;avanzare una domanda;avanzare una proposta;avanzare una richiesta,выдвигать/продвигаться/наступать
8876,interferire,interferire con i piani;interferire con il lavoro;interferire con il segnale;interferire con l'attività;interferire con la comunicazione;interferire con qualcuno;interferire negli affari;interferire nel processo;interferire nella vita;interferire tra le parti,вмешиваться/вторгаться
8889,affittare,affittare un appartamento;affittare un garage;affittare un immobile;affittare un locale;affittare un negozio;affittare un terreno;affittare un ufficio;affittare una casa;affittare una stanza,арендовать/снимать
8931,adottare,adottare nuove tecnologie;adottare un atteggiamento;adottare un bambino;adottare un comportamento;adottare un metodo;adottare un piano;adottare una linea;adottare una misura;adottare una soluzione;adottare una strategia,принимать/усыновлять/усваивать
8942,bagnare,bagnare i capelli;bagnare i fiori;bagnare i vestiti;bagnare il terreno;bagnare la faccia;bagnare la strada;bagnare la terra;bagnare le mani,мочить/смачивать/поливать
8967,incaricare,essere incaricato del compito;essere incaricato di;incaricare il personale;incaricare qualcuno;incaricare un collaboratore;incaricare un esperto;incaricare una commissione;ricevere l'incarico;venire incaricato di,поручать/назначать/уполномочивать
8991,circolare,circolare aria fresca;circolare in città;circolare informazioni riservate;circolare liberamente;circolare notizie false;circolare senza restrizioni;circolare su internet;circolare tra i corridoi;circolare tra le persone;circolare voce di corridoio,циркулировать/обращаться/распространяться
9006,violentare,tentativo di violentare;venire violentata;violentare qualcuno;violentare un minore;violentare una donna;violentare una vittima,насиловать/принуждать/нарушать
9025,respingere,respingere i critici;respingere le accuse;respingere un attacco;respingere un candidato;respingere un ordine;respingere un tentativo;respingere un'idea;respingere un'offerta;respingere una proposta,отвергать/отталкивать/отражать
9042,inseguire,inseguire il successo;inseguire la felicità;inseguire un cliente;inseguire un ideale;inseguire un ladro;inseguire un obiettivo;inseguire un sogno;inseguire un sospettato;inseguire una preda,преследовать/гнаться/догонять
9065,spaccare,spaccare il cuore;spaccare il ghiaccio;spaccare il legno;spaccare il record;spaccare il silenzio;spaccare il vetro;spaccare in due;spaccare la pietra;spaccare la testa;spaccare le uova,разбивать/раскалывать/ломать
9088,cavalcare,cavalcare il rischio;cavalcare il vento;cavalcare l'occasione;cavalcare l'onda;cavalcare la corrente;cavalcare la tigre;cavalcare un cavallo,скакать/ездить верхом/оседлать
9097,interpretare,interpretare i dati;interpretare i segnali;interpretare la realtà;interpretare un brano;interpretare un classico;interpretare un film;interpretare un ruolo;interpretare un sogno;interpretare un testo;interpretare una parte,интерпретировать/играть/толковать
9144,formare,formare un carattere;formare un corpo;formare un esercito;formare un gruppo;formare un legame;formare un partito;formare un team;formare un'opinione;formare una coalizione;formare una squadra,формировать/составлять/образовывать
9149,sfilare,fare una sfilata;partecipare a una sfilata;sfilare con eleganza;sfilare in passerella;sfilare la pelle;sfilare le cuciture;sfilare un filo;una sfilata di moda,дефилировать/снимать/вытягивать
9153,prescindere,prescindere dagli interessi;prescindere dai dettagli;prescindere dai fatti;prescindere dal contesto;prescindere dal costo;prescindere dalla questione;prescindere dalle circostanze;prescindere dalle conseguenze;prescindere dalle modalità;prescindere dalle opinioni,"абстрагироваться/не учитывать/отвлекаться от"
9171,vegliare,fare la veglia;restare in veglia;stare in veglia;vegliare con attenzione;vegliare sui malati;vegliare sul sonno;vegliare sulla città;vegliare sulla notte;vegliare sulla sicurezza;vegliare sulle tradizioni,бодрствовать/охранять/присматривать
9194,piantare,piantare dei fiori;piantare un albero;piantare un chiodo;piantare un dubbio;piantare un orto;piantare un palo;piantare un seme;piantare una base;piantare una vite,сажать/вбивать/бросить
9204,consigliare,consigliare un acquisto;consigliare un film;consigliare un investimento;consigliare un libro;consigliare un medico;consigliare un ristorante;consigliare una strada,советовать/рекомендовать
9236,attraggere,attrarre curiosità;attrarre i clienti;attrarre il pubblico;attrarre investimenti;attrarre l'attenzione;attrarre risorse;attrarre sguardi;attrarre simpatia;attrarre turisti;essere attratto da,привлекать/притягивать/влечь
9239,stupire,stupisce il pubblico;stupisce la folla;stupisce la gente;stupisce per bellezza,удивлять/изумлять/поражать
9301,annunciare,annunciare i risultati;annunciare il risultato;annunciare l'inizio;annunciare la data;annunciare la notizia;annunciare la verità;annunciare ufficialmente;annunciare un cambiamento;annunciare un evento;annunciare una scoperta,объявлять/сообщать/анонсировать
9307,rapinare,rapinare con la forza;rapinare un autista;rapinare un cliente;rapinare un corriere;rapinare un negozio;rapinare un turista;rapinare una banca;rapinare una gioielleria;tentare di rapinare,грабить/обокрасть
9325,cullare,cullare con dolcezza;cullare i propri figli;cullare il neonato;cullare la creatura;cullare un bambino;cullare un sogno;cullare una speranza;essere cullati dal mare,укачивать/баюкать/лелеять
9385,dubitare,dubitare dei risultati;dubitare del successo;dubitare della propria capacità;dubitare della scelta;dubitare della validità;dubitare della verità;dubitare delle intenzioni;dubitare di qualcuno;dubitare di sé;dubitare di tutto,сомневаться/ставить под сомнение
9405,dividire,dividere i compiti;dividere il bottino;dividere il carico;dividere il gruppo;dividere il territorio;dividere in parti;dividere l'aula;dividere la torta;dividere le spese;dividere per due,делить/разделять/разделяться
9414,distinguere,distinguere chiaramente;distinguere i colori;distinguere i dettagli;distinguere i fatti;distinguere il bene dal male;distinguere la verità;distinguere le differenze;distinguere le persone;distinguere tra due opzioni;distinguere un suono,различать/отличать/выделять
9449,pestare,pestare i chicchi;pestare i piedi;pestare i piedi a qualcuno;pestare i piedi sul suolo;pestare il terreno;pestare l'aglio;pestare l'uva;pestare le erbe,топтать/давить/толочь
9451,godere,godere del momento;godere del panorama;godere della compagnia;godere della fortuna;godere della libertà;godere di ampi spazi;godere di buona fama;godere di grandi benefici;godere di ottima salute;godere di un privilegio,наслаждаться/пользоваться/радоваться
9471,fraintendere,fraintendere il senso;fraintendere l'intento;fraintendere le parole;fraintendere un messaggio;fraintendere una richiesta;fraintendere una situazione;rischio di fraintendere;venire frainteso,неверно понять/исказить/понять превратно
9517,marcire,cominciare a marcire;iniziare a marcire;lasciare marcire;marcire in fretta;marcire lentamente;marcire nel terreno;marcire tra i rifiuti,гнить/тлеть
9518,consistere,consiste in un errore;consiste in un impegno;consiste in una scelta;consiste nell'agire;consiste nella ricerca;consiste nella scelta;consiste nello studio,состоять/заключаться
9551,squillare,squillare forte;squillare il campanello;squillare il telefono;squillare incessantemente;squillare la campana;squillare una sirena,звенеть/трезвонить/звучать
9592,accogliere,accogliere con entusiasmo;accogliere un cliente;accogliere un invito;accogliere un ospite;accogliere un suggerimento;accogliere una notizia;accogliere una proposta;accogliere una sfida;essere accolto calorosamente;una calda accoglienza,принимать/встречать/приютить
9606,subire,subire perdite;subire pressioni;subire un arresto;subire un colpo;subire un danno;subire un torto;subire un tracollo;subire un'aggressione;subire un'ingiustizia;subire una sconfitta,подвергаться/терпеть/переносить
9613,acconsentire,acconsentire a tutto;acconsentire al matrimonio;acconsentire al piano;acconsentire al progetto;acconsentire all'accordo;acconsentire alla decisione;acconsentire alla fusione;acconsentire alla proposta;acconsentire alla richiesta,соглашаться/давать согласие
9643,incrociare,incrociare gli sguardi;incrociare i dati;incrociare i file;incrociare i percorsi;incrociare i risultati;incrociare le armi;incrociare le braccia;incrociare le gambe;incrociare le opinioni;incrociare le strade,скрещивать/пересекать/переплетать
9664,sfidare,sfidare i pregiudizi;sfidare il destino;sfidare il pericolo;sfidare il sistema;sfidare il tempo;sfidare l'autorità;sfidare la gravità;sfidare la sorte;sfidare le leggi;sfidare un avversario,бросать вызов/оспаривать/дерзнуть
9729,montare,montare a cavallo;montare un mobile;montare un motore;montare un palco;montare un set;montare un video;montare un'auto;montare un'impalcatura;montare una tenda,собирать/монтировать/устанавливать
9771,scomparere,scompare senza lasciare traccia;scomparire all'improvviso;scomparire dagli schermi;scomparire dal radar;scomparire dalla scena;scomparire dalla vista;scomparire del tutto;scomparire nel buio;scomparire nel nulla;scomparire tra la folla,исчезать/пропадать
9791,localizzare,localizzare il segnale;localizzare un bersaglio;localizzare un colpevole;localizzare un dispositivo;localizzare un errore;localizzare un obiettivo;localizzare un pacco;localizzare un sospettato;localizzare un trasmettitore,локализовать/определять местонахождение
9800,biasimare,cadere nel biasimo;esprimere il proprio biasimo;essere oggetto di biasimo;evitare ogni biasimo;meritare il biasimo pubblico;non temere il biasimo;ricevere critiche e biasimo;subire un forte biasimo;vittima di un biasimo,порицать/осуждать/винить
9804,rimettere,rimettere a posto;rimettere al proprio posto;rimettere in chiaro;rimettere in discussione;rimettere in dubbio;rimettere in luce;rimettere in moto;rimettere in ordine;rimettere in scena,возвращать/ставить на место/возобновлять
9904,congelare,congelare gli asset;congelare i fondi;congelare i prezzi;congelare i salari;congelare il patrimonio;congelare il sangue;congelare la situazione;congelare le risorse;congelare un conto;rimanere congelato,замораживать/заморозить
9934,segnalare,segnalare un abuso;segnalare un comportamento;segnalare un errore;segnalare un guasto;segnalare un incidente;segnalare un pericolo;segnalare un problema;segnalare un sospetto;segnalare una presenza;venire segnalato,сигнализировать/сообщать/отмечать
9942,svenire,svenire improvvisamente;svenire per l'emozione;svenire per la fame;svenire per la paura;svenire per un malore;svenire sul posto,падать в обморок/терять сознание
9950,scatenare,scatenare il caos;scatenare l'inferno;scatenare la furia;scatenare la passione;scatenare la rivolta;scatenare le critiche;scatenare un conflitto;scatenare un terremoto;scatenare una polemica;scatenare una tempesta,развязать/спровоцировать/вызвать
9964,predicare,predicare il buon senso;predicare il perdono;predicare il rispetto;predicare l'amore;predicare la carità;predicare la giustizia;predicare la pace;predicare la salvezza;predicare la verità,проповедовать/поучать
9987,modificare,modificare i dati;modificare i piani;modificare il comportamento;modificare il programma;modificare l'aspetto;modificare la legge;modificare le regole;modificare un progetto;modificare un testo;modificare una strategia,изменять/модифицировать/менять
10002,spiare,continuare a spiare;spiare attraverso la serratura;spiare con un binocolo;spiare i movimenti;spiare i vicini;spiare il nemico;spiare le conversazioni;spiare qualcuno;spiare segretamente;tentare di spiare,шпионить/подглядывать/выслеживать
10012,conservare,conservare gli alimenti;conservare i documenti;conservare i valori;conservare il cibo;conservare l'ambiente;conservare l'ordine;conservare la calma;conservare la memoria;conservare le tradizioni;conservare un segreto,сохранять/хранить/сберегать
10014,invidiare,invidiare i risultati;invidiare il successo;invidiare il talento;invidiare la bellezza;invidiare la fortuna;invidiare la ricchezza;invidiare lo stile di vita;invidiare qualcuno,завидовать
10036,trasmettere,trasmettere dati;trasmettere fiducia;trasmettere informazioni;trasmettere un messaggio;trasmettere un programma;trasmettere un segnale;trasmettere un virus;trasmettere un'emozione;trasmettere una malattia;trasmettere valori,передавать/транслировать/переносить
10042,individuare,individuare i punti deboli;individuare il colpevole;individuare la causa;individuare le risorse;individuare un approccio;individuare un errore;individuare un modello;individuare un obiettivo;individuare un problema;individuare una soluzione,выявлять/обнаруживать/определять
10057,accoltellare,accoltellare a morte;brutalmente accoltellato;essere accoltellato;tentativo di accoltellare;venire accoltellato,заколоть/ударить ножом
10120,sospirare,sospirare con malinconia;sospirare con rassegnazione;sospirare di desiderio;sospirare per amore;sospirare per la fatica;sospirare piano;sospirare profondamente;sospirare un sospiro,вздыхать
10139,abbracciare,abbracciare con forza;abbracciare con tenerezza;abbracciare i propri figli;abbracciare un amico;abbracciare un'idea;abbracciare una causa;abbracciare una cultura;abbracciare una fede;abbracciare una filosofia;abbracciare una persona cara,обнимать/объять/приветствовать
10163,vagabondare,vagabondare nel mondo;vagabondare per i campi;vagabondare per la città;vagabondare per le strade;vagabondare senza meta;vagabondare senza pensieri;vagabondare senza scopo;vagabondare senza una direzione;vagabondare solitario;vagabondare tra i vicoli,бродить/скитаться/странствовать
10191,affamare,affamare i contadini;affamare i poveri;affamare i sudditi;affamare il popolo;affamare la popolazione;affamare le masse;lasciare affamata una famiglia,голодать/морить голодом
10196,intuire,intuire il pericolo;intuire il senso;intuire l'errore;intuire la soluzione;intuire la trama;intuire la verità;intuire le intenzioni;intuire un colpo;intuire un segreto;intuire una risposta,интуитивно понимать/догадываться/чувствовать
10230,pronunciare,pronunciare ad alta voce;pronunciare bene;pronunciare chiaramente;pronunciare correttamente;pronunciare male;pronunciare un discorso;pronunciare un nome;pronunciare un verdetto;pronunciare una parola;pronunciare una sentenza,произносить/выговаривать/объявлять
10232,esaustare,corpo esausto;esaustare le energie;forze completamente esauste;lasciare esausti;risorse esaustate;risorse ormai esauste;sentirsi esausti;una mente esausta,истощать/исчерпывать/изнурять
10287,limonare,limonare appassionatamente;limonare con dolcezza;limonare con passione;limonare con qualcuno;limonare freneticamente;limonare in segreto;limonare intensamente;limonare per ore;limonare senza sosta,целоваться/миловаться
10305,forzare,forzare il passaggio;forzare la mano;forzare la porta;forzare la resistenza;forzare la serratura;forzare la sorte;una risposta forzata;uno sguardo forzato,заставлять/взломать/принуждать
10311,limitare,limitare i danni;limitare il consumo;limitare l'accesso;limitare l'influenza;limitare la crescita;limitare la diffusione;limitare la velocità;limitare le possibilità;limitare le spese;risorse limitate,ограничивать/лимитировать
10323,partorire,partorire in ospedale;partorire in sicurezza;partorire naturalmente;partorire un bambino;partorire un figlio;partorire un maschio;partorire una bambina;partorire una femmina,рожать/производить на свет
10419,lamentare,lamentare un danno;lamentare un dolore;lamentare un errore;lamentare un fallimento;lamentare un lutto;lamentare un malessere;lamentare un ritardo;lamentare un torto;lamentare una mancanza;lamentare una perdita,жаловаться/сетовать/оплакивать
10428,ammalare,,заболевать/заболеть
10452,introdurre,introdurre un argomento;introdurre un cambiamento;introdurre un dubbio;introdurre un elemento;introdurre un nuovo concetto;introdurre un prodotto;introdurre una legge;introdurre una modifica;introdurre una novità;introdurre una riforma,вводить/представлять/внедрять
10458,convocare,convocare i genitori;convocare i testimoni;convocare il consiglio;convocare la commissione;convocare un colloquio;convocare un incontro;convocare un'assemblea;convocare una riunione,созывать/вызывать/конвоировать
10470,manchare,mancherà di rispetto;mancherà il coraggio;mancherà il supporto;mancherà la conferma;può mancare l'occasione,не хватать/отсутствовать/пропускать
10477,masticare,masticare bene;masticare con cura;masticare con fatica;masticare gomma;masticare il cibo;masticare lentamente;masticare ogni boccone;masticare senza sosta;masticare un pezzo,жевать
10488,scivolare,scivolare fuori controllo;scivolare in errore;scivolare lungo la parete;scivolare nel fango;scivolare nella rete;scivolare sotto il letto;scivolare su una buca;scivolare sul ghiaccio;scivolare via;scivolare via dalle dita,скользить/соскальзывать/поскользнуться
10495,stressare,causare stress;essere stressato;risultare stressato;stressare eccessivamente;stressare i nervi;stressare la pazienza;stressare qualcuno;uno stile stressante;vivere stressato,стрессовать/нервировать
10555,diffondere,diffondere informazioni false;diffondere la conoscenza;diffondere la cultura;diffondere la paura;diffondere un messaggio;diffondere un odore;diffondere un profumo;diffondere un virus;diffondere una notizia;un sapere ampiamente diffuso,распространять/рассеивать/диффундировать
10572,giustificare,giustificare il costo;giustificare l'assenza;giustificare la decisione;giustificare le proprie azioni;giustificare le spese;giustificare un atto;giustificare un comportamento;giustificare un errore;giustificare un ritardo;giustificare una scelta,оправдывать/обосновывать
10587,obbedire,obbedire agli ordini;obbedire ai genitori;obbedire al comando;obbedire al dovere;obbedire alla legge;obbedire alla volontà;obbedire alle regole;obbedire ciecamente;obbedire con disciplina;obbedire senza riserve,повиноваться/подчиняться/слушаться
10597,umiliare,essere umiliato;sentirsi umiliato;umiliare l'avversario;umiliare profondamente;umiliare pubblicamente;umiliare qualcuno;umiliare se stessi;umiliare un avversario;venire umiliato,унижать/оскорблять
10606,governare,governare i propri impulsi;governare il paese;governare il proprio destino;governare la passione;governare la paura;governare la situazione;governare le emozioni;governare lo Stato;governare un'azienda;governare una regione,управлять/править/руководить
10631,gocciare,far gocciolare;gocciolare olio;gocciolare sangue;gocciolare vino,капать/стекать каплями
10668,compilare,compilare un censimento;compilare un curriculum;compilare un database;compilare un elenco;compilare un foglio Excel;compilare un modulo;compilare un questionario;compilare un registro;compilare un verbale,заполнять/составлять/оформлять
10700,acquistare,acquistare a credito;acquistare con cura;acquistare in contanti;acquistare nuovi titoli;acquistare online;acquistare un bene;acquistare un immobile;acquistare un prodotto;acquistare un'auto;acquistare una quota,приобретать/покупать
10712,reclutare,reclutare candidati;reclutare collaboratori;reclutare dipendenti;reclutare esperti;reclutare nuovi membri;reclutare personale;reclutare risorse;reclutare soldati;reclutare talenti;reclutare volontari,вербовать/набирать/рекрутировать
10755,infiltrare,essere infiltrato nella polizia;infiltrare un agente;infiltrarsi nel sistema;infiltrarsi nell'organizzazione;infiltrarsi segretamente;infiltrarsi tra le fila,инфильтрировать/проникать/внедрять
10807,schiacciare,essere schiacciato dal peso;schiacciare i pomodori;schiacciare il nemico;schiacciare la resistenza;schiacciare la speranza;schiacciare un insetto;schiacciare un tasto;schiacciare una lattina;sentirsi schiacciato dalle responsabilità,давить/раздавить/раздавливать
10821,sorvegliare,sorvegliare i bambini;sorvegliare i confini;sorvegliare i movimenti;sorvegliare i sospetti;sorvegliare il territorio;sorvegliare l'ingresso;sorvegliare la proprietà;sorvegliare le merci;sorvegliare un edificio;sorvegliare una zona,наблюдать/охранять/присматривать
10902,influenzare,influenzare i risultati;influenzare il clima;influenzare il comportamento;influenzare il mercato;influenzare il processo;influenzare l'opinione pubblica;influenzare la cultura;influenzare la scelta;influenzare le decisioni;influenzare lo sviluppo,влиять/оказывать влияние
10911,rimorchiare,rimorchiare con forza;rimorchiare un camion;rimorchiare un carico;rimorchiare un carro;rimorchiare un motoscafo;rimorchiare un natante;rimorchiare un veicolo;rimorchiare un'auto;rimorchiare una barca,буксировать/тащить
10922,gradire,gradire un caffè;gradire un complimento;gradire un consiglio;gradire un gesto;gradire un invito;gradire un omaggio;gradire un regalo;gradire un trattamento;molto gradito,оценить/быть довольным/принять с благодарностью
10933,indire,indire le elezioni;indire un colloquio;indire un concorso;indire un dibattito;indire un incontro;indire un referendum;indire una conferenza;indire una gara;indire una riunione,назначать/объявлять/созывать
10937,consentire,consentire il passaggio;consentire l'accesso;consentire l'esecuzione;consentire l'ingresso;consentire l'operazione;consentire l'uso;consentire la partecipazione;consentire lo svolgimento;consentito dalla legge,разрешать/позволять/дать согласие
10942,dimettere,dimettere un paziente;essere dimesso dall'ospedale,увольнять/выписывать/освобождать от должности
10947,tuonare,cominciare a tuonare;continuare a tuonare;far tuonare;sentire tuonare,греметь/грохотать
10948,ricoprire,essere ricoperto di neve;essere ricoperto di polvere;essere ricoperto di sangue;ricoprire il terreno;ricoprire un incarico;ricoprire un ruolo;ricoprire una carica;ricoprire una funzione;ricoprire una posizione,покрывать/занимать/покрывать слоем
10957,prevenire,prevenire un attacco;prevenire un contagio;prevenire un crimine;prevenire un errore;prevenire un incidente;prevenire un pericolo;prevenire un problema;prevenire un rischio;prevenire una crisi;prevenire una malattia,предотвращать/предупреждать
10961,contribuire,contribuire al dibattito;contribuire al miglioramento;contribuire al progresso;contribuire al successo;contribuire alla causa;contribuire alla crescita;contribuire alla ricerca;contribuire alla soluzione;contribuire alle spese;contribuire allo sviluppo,вносить вклад/способствовать/содействовать
10980,accorgere,accorgersi del cambiamento;accorgersi del pericolo;accorgersi dell'inganno;accorgersi della differenza;accorgersi di un dettaglio;accorgersi di un errore;accorgersi subito;farsi accorgere;non accorgersi di niente,заметить/осознать/почувствовать
10991,scantinare,scantinare gli attrezzi;scantinare gli oggetti ingombranti;scantinare i documenti;scantinare i mobili;scantinare il materiale;scantinare la merce;scantinare le provviste;scantinare le scorte;scantinare le vecchie cose;scantinare tutto il superfluo,спустить в подвал/переместить в подвал
11004,manipolare,manipolare gli oggetti;manipolare i dati;manipolare il denaro;manipolare l'opinione pubblica;manipolare la sostanza;manipolare le emozioni;manipolare le informazioni;manipolare le masse;manipolare le prove;manipolare un dispositivo,манипулировать/управлять/обманывать
11032,avviare,avviare il motore;avviare l'app;avviare la procedura;avviare un processo;avviare un progetto;avviare un'attività;avviare una conversazione;avviare una discussione;avviare una pratica;avviare una ricerca,запускать/начинать/завести
11040,fondare,fondare un impero;fondare un mito;fondare un partito;fondare un'associazione;fondare un'azienda;fondare una banca;fondare una città;fondare una famiglia;fondare una scuola;fondare una società,основывать/учреждать/создавать
11082,accelerare,accelerare i lavori;accelerare i tempi;accelerare il processo;accelerare il ritmo;accelerare l'andatura;accelerare l'esecuzione;accelerare la corsa;accelerare la crescita;accelerare la velocità;accelerare lo sviluppo,ускорять/ускориться
11102,evadere,evadere i controlli;evadere il controllo;evadere l'imposta;evadere la dogana;evadere le imposte;evadere le tasse;evadere un ordine;evadere un pagamento;evadere una fattura;evadere una pratica,уклоняться/выполнять/бежать
11131,percepire,percepire il pericolo;percepire la presenza;percepire un cambiamento;percepire un dolore;percepire un odore;percepire un rischio;percepire un rumore;percepire un segnale;percepire un suono;percepire una sensazione,воспринимать/ощущать/чувствовать
11133,rivivere,rivivere i momenti;rivivere il passato;rivivere la storia;rivivere un amore;rivivere un incubo;rivivere un trauma;rivivere un'emozione;rivivere un'esperienza;rivivere una passione;rivivere vecchi ricordi,пережить заново/возродить/ожить
11145,succhiare,succhiare il ghiaccio;succhiare il latte;succhiare il miele;succhiare il sangue;succhiare il succo;succhiare la polpa;succhiare un bastoncino;succhiare un lecca-lecca;succhiare una cannuccia;succhiare una caramella,сосать/высасывать
11152,imbarazzare,apparire imbarazzato;essere imbarazzato;imbarazzare profondamente;restare imbarazzato;sentirsi imbarazzato;situazione che imbarazza;un silenzio imbarazzante,смущать/ставить в неловкое положение
11153,brillare,brillano gli occhi;brillare di gioia;brillare di luce propria;brillare in modo smagliante;brillare intensamente;brillare nel cielo;brillare sotto il sole;brillare tra le stelle,сиять/блестеть/сверкать
11158,perquisire,perquisire accuratamente un luogo;perquisire i documenti;perquisire la tasca;perquisire un appartamento;perquisire un cassetto;perquisire un sospettato;perquisire un ufficio;perquisire un veicolo;perquisire una borsa;perquisire una stanza,обыскивать/досматривать
11178,soccorrere,prestare soccorso;pronto a soccorrere;soccorrere gli animali;soccorrere i feriti;soccorrere le vittime;soccorrere qualcuno in pericolo;soccorrere un malato;soccorrere una persona in difficoltà,помогать/спасать/приходить на помощь
11193,testare,testare la resistenza;testare le prestazioni;testare un dispositivo;testare un farmaco;testare un nuovo modello;testare un prodotto;testare un sistema;testare un software;testare una funzionalità;testare una teoria,тестировать/проверять/испытывать
11227,tremare,far tremare la voce;far tremare le fondamenta;tremare dal terrore;tremare di gioia;tremare di paura;tremare per il freddo;tremare visibilmente,дрожать/трястись
11239,installare,installare un antivirus;installare un apparecchio;installare un componente;installare un dispositivo;installare un driver;installare un impianto;installare un programma;installare un sistema operativo;installare un software;installare un'applicazione,устанавливать/монтировать
11245,leccare,leccare i bordi;leccare il cucchiaio;leccare il dito;leccare il ghiaccio;leccare la ciotola;leccare la crema;leccare le dita;leccare un gelato;leccare una caramella,лизать
11256,prelevare,prelevare contanti;prelevare denaro;prelevare fondi;prelevare i dati;prelevare il sangue;prelevare informazioni;prelevare un campione;prelevare una somma,снимать/извлекать/брать
11257,cessare,cessare di esistere;cessare i pagamenti;cessare il fuoco;cessare il lavoro;cessare il rumore;cessare l'attività;cessare la pioggia;cessare le comunicazioni;cessare le ostilità;cessare ogni attività,прекращать/останавливать
11267,scottare,scottare con lo sguardo;scottare l'olio;scottare la pelle;scottarsi con il fuoco;un commento che scotta,обжигать/жечь
11271,vociare,continuare a vociare;far vociare la folla;iniziare a vociare;lasciar vociare la massa,кричать/шуметь/голосить
11285,approfittare,approfittare del momento;approfittare del tempo libero;approfittare dell'occasione;approfittare della bontà altrui;approfittare della circostanza;approfittare della situazione;approfittare della vacanza;approfittare delle ferie;approfittare di un errore;aver approfittato dell'offerta,пользоваться/воспользоваться
11300,dotare,dotare di capacità;dotare di mezzi;dotare di nuove funzioni;dotare di risorse;dotare di strumenti;dotare di tecnologia;essere dotato di coraggio;essere dotato di intelligenza;essere dotato di sensibilità;essere dotato di talento,оснащать/наделять
11319,filmare,filmare con la telecamera;filmare dal vivo;filmare in segreto;filmare un documentario;filmare un evento;filmare un incontro;filmare un video;filmare un'intervista;filmare una scena,снимать/фильмировать
11322,stimare,essere molto stimato;stimare con precisione;stimare i costi;stimare il rischio;stimare il tempo;stimare la quantità;stimare le perdite;stimare un valore;stimare una cifra,оценивать/ценивать
11323,disarmare,disarmare completamente un nemico;disarmare un assalitore;disarmare un criminale;disarmare un sospettato;disarmare un terrorista;rimanere disarmato,разоружать
11349,oltrepassare,oltrepassare i canoni;oltrepassare i confini;oltrepassare i divieti;oltrepassare i protocolli;oltrepassare il confine;oltrepassare il limite;oltrepassare il segno;oltrepassare la misura;oltrepassare la soglia;oltrepassare le regole,превышать/переходить/переступать
11366,qualificare,personale altamente qualificato;qualificare un candidato;qualificare un intervento;qualificare un prodotto;qualificare un rischio;qualificare un talento;qualificare un'esperienza;qualificare una prestazione;un lavoratore qualificato;un profilo qualificato,квалифицировать/определять
11368,presumere,essere presunto colpevole;presumere il peggio;presumere il successo;presumere l'innocenza;presumere la colpa;presumere un errore;presumere un pericolo;presumere una causa;presunto assassino;presunto responsabile,предполагать/допускать
11380,tradere,tradire i valori;tradire il partner;tradire la famiglia;tradire la fiducia;tradire la patria;tradire le aspettative;tradire un amico;tradire un impegno;tradire un segreto;tradire una promessa,предавать/изменять
11384,parcheggiato,auto parcheggiata;bene parcheggiata;erroneamente parcheggiata;macchina parcheggiata;male parcheggiata;motocicletta parcheggiata,припаркованный
11387,addire,addire i colpevoli;addire i responsabili;addire il motivo;addire la causa;addire le prove;addire una persona,назначать/определять
11402,pentire,non pentirsi mai;pentirsi amaramente;pentirsi del passato;pentirsi di qualcosa;pentirsi di un errore;pentirsi di un gesto;pentirsi profondamente;sentirsi pentito,каяться/раскаиваться/сожалеть
11409,collare,collare il randagio;collare l'animale selvatico;collare un animale;collare un cane;collare un lupo;collare una bestia,надевать ошейник/окольцовывать
11413,imbrogliare,essere imbrogliato;imbrogliare con facilità;imbrogliare costantemente;imbrogliare gli amici;imbrogliare i clienti;imbrogliare la sorte;imbrogliare qualcuno;imbrogliare un povero cristo,обманывать/мошенничать
11452,disperare,apparire disperati;cominciare a disperare;disperare per qualcuno;disperare senza speranza;diventare disperati;restare disperati;sentirsi disperati,отчаиваться/терять надежду
11458,incidere,incidere il legno;incidere il metallo;incidere la pietra;incidere la superficie;incidere profondamente;incidere un disegno;incidere un nome;incidere un segno;incidere una data;incidere una scritta,вырезать/гравировать/надрезать
11482,implicare,implica cambiamenti radicali;implica conseguenze gravi;implica costi elevati;implica grandi sforzi;implica l'uso di;implica responsabilità dirette;implica un impegno;implica un rischio;implica una decisione;implica una scelta,подразумевать/влечь за собой
11495,condividire,condividere i dati;condividere il file;condividere la visione;condividere le spese;condividere un momento;condividere un post;condividere un segreto;condividere un'esperienza;condividere un'idea;condividiamo gli obiettivi,делить/делиться/разделять
