Verb Conjugation A1 Italian (Drill)
я устал (essere stanco);Io sono stanco.
она нажимает клавишу (toccare un tasto);Lei tocca un tasto.
мы нажимаем клавишу (toccare un tasto);Noi tocchiamo un tasto.
вы нажимаете клавишу (toccare un tasto);Voi toccate un tasto.
они нажимают клавишу (toccare un tasto);Loro toccano un tasto.
я нажимал клавишу (toccare un tasto);Io toccavo un tasto.
ты нажимал клавишу (toccare un tasto);Tu toccavi un tasto.
он нажимал клавишу (toccare un tasto);Lui toccava un tasto.
она нажимала клавишу (toccare un tasto);Lei toccava un tasto.
мы нажимали клавишу (toccare un tasto);Noi toccavamo un tasto.
вы нажимали клавишу (toccare un tasto);Voi toccavate un tasto.
они нажимали клавишу (toccare un tasto);Loro toccavano un tasto.
я достиг дна (toccare il fondo);Io toccai il fondo.
ты достиг дна (toccare il fondo);Tu toccasti il fondo.
он достиг дна (toccare il fondo);Lui toccò il fondo.
она достигла дна (toccare il fondo);Lei toccò il fondo.
мы достигли дна (toccare il fondo);Noi toccammo il fondo.
вы достигли дна (toccare il fondo);Voi toccaste il fondo.
они достигли дна (toccare il fondo);Loro toccarono il fondo.
я затронул тему (toccare il tema);Io ho toccato il tema.
ты затронул тему (toccare il tema);Tu hai toccato il tema.
он затронул тему (toccare il tema);Lui ha toccato il tema.
она затронула тему (toccare il tema);Lei ha toccato il tema.
мы затронули тему (toccare il tema);Noi abbiamo toccato il tema.
вы затронули тему (toccare il tema);Voi avete toccato il tema.
они затронули тему (toccare il tema);Loro hanno toccato il tema.
я уже затронул тему (toccare il tema);Io avevo toccato il tema.
ты уже затронул тему (toccare il tema);Tu avevi toccato il tema.
он уже затронул тему (toccare il tema);Lui aveva toccato il tema.
она уже затронула тему (toccare il tema);Lei aveva toccato il tema.
мы уже затронули тему (toccare il tema);Noi avevamo toccato il tema.
вы уже затронули тему (toccare il tema);Voi avevate toccato il tema.
они уже затронули тему (toccare il tema);Loro avevano toccato il tema.
я нажму кнопку (toccare un tasto);Io toccherò un tasto.
ты нажмешь кнопку (toccare un tasto);Tu toccherai un tasto.
он нажмет кнопку (toccare un tasto);Lui toccherà un tasto.
она нажмет кнопку (toccare un tasto);Lei toccherà un tasto.
мы нажмем кнопку (toccare un tasto);Noi toccheremo un tasto.
вы нажмете кнопку (toccare un tasto);Voi toccherete un tasto.
они нажмут кнопку (toccare un tasto);Loro toccheranno un tasto.
я успею затронуть тему (toccare il tema);Io avrò toccato il tema.
ты успеешь затронуть тему (toccare il tema);Tu avrai toccato il tema.
он успеет затронуть тему (toccare il tema);Lui avrà toccato il tema.
она успеет затронуть тему (toccare il tema);Lei avrà toccato il tema.
мы успеем затронуть тему (toccare il tema);Noi avremo toccato il tema.
вы успеете затронуть тему (toccare il tema);Voi avrete toccato il tema.
они успеют затронуть тему (toccare il tema);Loro avranno toccato il tema.
я бы нажал на клавишу (toccare un tasto);Io toccherei un tasto.
ты бы нажал на клавишу (toccare un tasto);Tu toccheresti un tasto.
он бы нажал на клавишу (toccare un tasto);Lui toccherebbe un tasto.
она бы нажала на клавишу (toccare un tasto);Lei toccherebbe un tasto.
мы бы нажали на клавишу (toccare un tasto);Noi toccheremmo un tasto.
вы бы нажали на клавишу (toccare un tasto);Voi tocchereste un tasto.
они бы нажали на клавишу (toccare un tasto);Loro toccherebbero un tasto.
я бы затронул тему (toccare il tema);Io avrei toccato il tema.
ты бы затронул тему (toccare il tema);Tu avresti toccato il tema.
он бы затронул тему (toccare il tema);Lui avrebbe toccato il tema.
она бы затронула тему (toccare il tema);Lei avrebbe toccato il tema.
мы бы затронули тему (toccare il tema);Noi avremmo toccato il tema.
вы бы затронули тему (toccare il tema);Voi avreste toccato il tema.
они бы затронули тему (toccare il tema);Loro avrebbero toccato il tema.
она хочет, чтобы я нажал на клавишу (toccare un tasto);Lei vuole che io tocchi un tasto.
он хочет, чтобы ты нажал на клавишу (toccare un tasto);Lui vuole che tu tocchi un tasto.
я думаю, что он нажмет на клавишу (toccare un tasto);Io penso che lui tocchi un tasto.
я думаю, что она нажмет на клавишу (toccare un tasto);Io penso che lei tocchi un tasto.
он хочет, чтобы мы нажали на клавишу (toccare un tasto);Lui vuole che noi tocchiamo un tasto.
я думаю, что вы нажмете на клавишу (toccare un tasto);Io penso che voi tocchiate un tasto.
я думаю, что они нажмут на клавишу (toccare un tasto);Io penso che loro tocchino un tasto.
она хотела, чтобы я нажал на клавишу (toccare un tasto);Lei voleva che io toccassi un tasto.
он хотел, чтобы ты нажал на клавишу (toccare un tasto);Lui voleva che tu toccassi un tasto.
я думал, что он нажмет на клавишу (toccare un tasto);Io pensavo che lui toccasse un tasto.
мы верили, что она нажмет на клавишу (toccare un tasto);Noi credevamo che lei toccasse un tasto.
они надеялись, что мы нажмем на клавишу (toccare un tasto);Loro speravano che noi toccassimo un tasto.
я боялся, что вы нажмете на клавишу (toccare un tasto);Io temevo che voi toccaste un tasto.
он хотел, чтобы они нажали на клавишу (toccare un tasto);Lui voleva che loro toccassero un tasto.
он думает, что я уже затронул тему (toccare il tema);Lui pensa che io abbia toccato il tema.
она надеется, что ты уже затронул тему (toccare il tema);Lei spera che tu abbia toccato il tema.
я сомневаюсь, что он уже затронул тему (toccare il tema);Io dubito che lui abbia toccato il tema.
мы полагаем, что она уже затронула тему (toccare il tema);Noi supponiamo che lei abbia toccato il tema.
вы думаете, что мы уже затронули тему (toccare il tema);Voi pensate che noi abbiamo toccato il tema.
они верят, что вы уже затронули тему (toccare il tema);Loro credono che voi abbiate toccato il tema.
я думаю, что они уже затронули тему (toccare il tema);Io penso che loro abbiano toccato il tema.
я скрываю (секрет) секрет (un segreto);Io nascondo un segreto.
ты скрываешь (секрет) секрет (un segreto);Tu nascondi un segreto.
он скрывает (секрет) секрет (un segreto);Lui nasconde un segreto.
она скрывает (секрет) секрет (un segreto);Lei nasconde un segreto.
мы скрываем (секрет) секрет (un segreto);Noi nascondiamo un segreto.
вы скрываете (секрет) секрет (un segreto);Voi nascondete un segreto.
они скрывают (секрет) секрет (un segreto);Loro nascondono un segreto.
я скрывал секрет (nascondere un segreto);Io nascondevo un segreto.
ты скрывал секрет (nascondere un segreto);Tu nascondevi un segreto.
он скрывал секрет (nascondere un segreto);Lui nascondeva un segreto.
она скрывала секрет (nascondere un segreto);Lei nascondeva un segreto.
мы скрывали секрет (nascondere un segreto);Noi nascondevamo un segreto.
вы скрывали секрет (nascondere un segreto);Voi nascondevate un segreto.
они скрывали секрет (nascondere un segreto);Loro nascondevano un segreto.
я спрятал (nascondere) секрет (un segreto);Io nascosi un segreto.
ты спрятал (nascondere) секрет (un segreto);Tu nascondesti un segreto.
он спрятал (nascondere) секрет (un segreto);Lui nascose un segreto.
она спрятала (nascondere) секрет (un segreto);Lei nascose un segreto.
мы спрятали (nascondere) секрет (un segreto);Noi nascondemmo un segreto.
вы спрятали (nascondere) секрет (un segreto);Voi nascondeste un segreto.
они спрятали (nascondere) секрет (un segreto);Loro nascosero un segreto.
я спрятал секрет (nascondere un segreto);Io ho nascosto un segreto.
ты спрятал секрет (nascondere un segreto);Tu hai nascosto un segreto.
он спрятал секрет (nascondere un segreto);Lui ha nascosto un segreto.
она спрятала секрет (nascondere un segreto);Lei ha nascosto un segreto.
мы спрятали секрет (nascondere un segreto);Noi abbiamo nascosto un segreto.
вы спрятали секрет (nascondere un segreto);Voi avete nascosto un segreto.
они спрятали секрет (nascondere un segreto);Loro hanno nascosto un segreto.
я уже спрятал секрет (nascondere un segreto);Io avevo nascosto un segreto.
ты уже спрятал секрет (nascondere un segreto);Tu avevi nascosto un segreto.
он уже спрятал секрет (nascondere un segreto);Lui aveva nascosto un segreto.
она уже спрятала секрет (nascondere un segreto);Lei aveva nascosto un segreto.
мы уже спрятали секрет (nascondere un segreto);Noi avevamo nascosto un segreto.
вы уже спрятали секрет (nascondere un segreto);Voi avevate nascosto un segreto.
они уже спрятали секрет (nascondere un segreto);Loro avevano nascosto un segreto.
я спрячу (nascondere) секрет (un segreto);Io nasconderò un segreto.
ты спрячешь (nascondere) секрет (un segreto);Tu nasconderai un segreto.
он спрячет (nascondere) секрет (un segreto);Lui nasconderà un segreto.
она спрячет (nascondere) секрет (un segreto);Lei nasconderà un segreto.
мы спрячем (nascondere) секрет (un segreto);Noi nasconderemo un segreto.
вы спрячете (nascondere) секрет (un segreto);Voi nasconderete un segreto.
они спрячут (nascondere) секрет (un segreto);Loro nasconderanno un segreto.
я уже успею скрыть секрет (nascondere un segreto);Io avrò nascosto un segreto.
ты уже успеешь скрыть секрет (nascondere un segreto);Tu avrai nascosto un segreto.
он уже успеет скрыть секрет (nascondere un segreto);Lui avrà nascosto un segreto.
она уже успеет скрыть секрет (nascondere un segreto);Lei avrà nascosto un segreto.
мы уже успеем скрыть секрет (nascondere un segreto);Noi avremo nascosto un segreto.
вы уже успеете скрыть секрет (nascondere un segreto);Voi avrete nascosto un segreto.
они уже успеют скрыть секрет (nascondere un segreto);Loro avranno nascosto un segreto.
я бы скрыл секрет (nascondere un segreto);Io nasconderei un segreto.
ты бы скрыл секрет (nascondere un segreto);Tu nasconderesti un segreto.
он бы скрыл секрет (nascondere un segreto);Lui nasconderebbe un segreto.
она бы скрыла секрет (nascondere un segreto);Lei nasconderebbe un segreto.
мы бы скрыли секрет (nascondere un segreto);Noi nasconderemmo un segreto.
вы бы скрыли секрет (nascondere un segreto);Voi nascondereste un segreto.
они бы скрыли секрет (nascondere un segreto);Loro nasconderebbero un segreto.
я бы спрятал секрет (nascondere un segreto);Io avrei nascosto un segreto.
ты бы спрятал секрет (nascondere un segreto);Tu avresti nascosto un segreto.
он бы спрятал секрет (nascondere un segreto);Lui avrebbe nascosto un segreto.
она бы спрятала секрет (nascondere un segreto);Lei avrebbe nascosto un segreto.
мы бы спрятали секрет (nascondere un segreto);Noi avremmo nascosto un segreto.
вы бы спрятали секрет (nascondere un segreto);Voi avreste nascosto un segreto.
они бы спрятали секрет (nascondere un segreto);Loro avrebbero nascosto un segreto.
он хочет, чтобы я скрыл секрет (nascondere un segreto);Lui vuole che io nasconda un segreto.
она хочет, чтобы ты скрыл секрет (nascondere un segreto);Lei vuole che tu nasconda un segreto.
я думаю, что он скрывает секрет (nascondere un segreto);Io penso che lui nasconda un segreto.
я думаю, что она скрывает секрет (nascondere un segreto);Io penso che lei nasconda un segreto.
я надеюсь, что мы скроем секрет (nascondere un segreto);Io spero che noi nascondiamo un segreto.
я верю, что вы скроете секрет (nascondere un segreto);Io credo che voi nascondiate un segreto.
я думаю, что они скрывают секрет (nascondere un segreto);Io penso che loro nascondano un segreto.
он хотел, чтобы я скрыл секрет (nascondere un segreto);Lui voleva che io nascondessi un segreto.
она хотела, чтобы ты скрыл секрет (nascondere un segreto);Lei voleva che tu nascondessi un segreto.
я думал, что он скроет секрет (nascondere un segreto);Io pensavo che lui nascondesse un segreto.
мы верили, что она скроет секрет (nascondere un segreto);Noi credevamo che lei nascondesse un segreto.
они надеялись, что мы скроем секрет (nascondere un segreto);Loro speravano che noi nascondessimo un segreto.
он боялся, что вы скроете секрет (nascondere un segreto);Lui temeva che voi nascondeste un segreto.
я сомневался, что они скроют секрет (nascondere un segreto);Io dubitavo che loro nascondessero un segreto.
он думает, что я уже скрыл секрет (nascondere un segreto);Lui pensa che io abbia nascosto un segreto.
она верит, что ты уже скрыл секрет (nascondere un segreto);Lei crede che tu abbia nascosto un segreto.
я надеюсь, что он уже скрыл секрет (nascondere un segreto);Io spero che lui abbia nascosto un segreto.
мы думаем, что она уже скрыла секрет (nascondere un segreto);Noi pensiamo che lei abbia nascosto un segreto.
ты сомневаешься, что мы уже скрыли секрет (nascondere un segreto);Tu dubiti che noi abbiamo nascosto un segreto.
он предполагает, что вы уже скрыли секрет (nascondere un segreto);Lui suppone che voi abbiate nascosto un segreto.
я верю, что они уже скрыли секрет (nascondere un segreto);Io credo che loro abbiano nascosto un segreto.
я получаю разрешение (ottenere il permesso);Io ottengo il permesso.
ты получаешь разрешение (ottenere il permesso);Tu ottieni il permesso.
он получает разрешение (ottenere il permesso);Lui ottiene il permesso.
она получает разрешение (ottenere il permesso);Lei ottiene il permesso.
мы получаем разрешение (ottenere il permesso);Noi otteniamo il permesso.
вы получаете разрешение (ottenere il permesso);Voi ottenete il permesso.
они получают разрешение (ottenere il permesso);Loro ottengono il permesso.
я получал разрешение (ottenere il permesso);Io ottenevo il permesso.
ты получал разрешение (ottenere il permesso);Tu ottenevi il permesso.
он получал разрешение (ottenere il permesso);Lui otteneva il permesso.
она получала разрешение (ottenere il permesso);Lei otteneva il permesso.
мы получали разрешение (ottenere il permesso);Noi ottenevamo il permesso.
вы получали разрешение (ottenere il permesso);Voi ottenevate il permesso.
они получали разрешение (ottenere il permesso);Loro ottenevano il permesso.
я получил разрешение (ottenere il permesso);Io ottenni il permesso.
ты получил разрешение (ottenere il permesso);Tu ottenesti il permesso.
он получил разрешение (ottenere il permesso);Lui ottenne il permesso.
она получила разрешение (ottenere il permesso);Lei ottenne il permesso.
мы получили разрешение (ottenere il permesso);Noi ottenemmo il permesso.
вы получили разрешение (ottenere il permesso);Voi otteneste il permesso.
они получили разрешение (ottenere il permesso);Loro ottennero il permesso.
я получил разрешение (ottenere il permesso);Io ho ottenuto il permesso.
ты получил разрешение (ottenere il permesso);Tu hai ottenuto il permesso.
он получил разрешение (ottenere il permesso);Lui ha ottenuto il permesso.
она получила разрешение (ottenere il permesso);Lei ha ottenuto il permesso.
мы получили разрешение (ottenere il permesso);Noi abbiamo ottenuto il permesso.
вы получили разрешение (ottenere il permesso);Voi avete ottenuto il permesso.
они получили разрешение (ottenere il permesso);Loro hanno ottenuto il permesso.
я уже получил разрешение (ottenere il permesso);Io avevo ottenuto il permesso.
ты уже получил разрешение (ottenere il permesso);Tu avevi ottenuto il permesso.
он уже получил разрешение (ottenere il permesso);Lui aveva ottenuto il permesso.
она уже получила разрешение (ottenere il permesso);Lei aveva ottenuto il permesso.
мы уже получили разрешение (ottenere il permesso);Noi avevamo ottenuto il permesso.
вы уже получили разрешение (ottenere il permesso);Voi avevate ottenuto il permesso.
они уже получили разрешение (ottenere il permesso);Loro avevano ottenuto il permesso.
я получу разрешение (ottenere il permesso);Io otterrò il permesso.
ты получишь разрешение (ottenere il permesso);Tu otterrai il permesso.
он получит разрешение (ottenere il permesso);Lui otterrà il permesso.
она получит разрешение (ottenere il permesso);Lei otterrà il permesso.
мы получим разрешение (ottenere il permesso);Noi otterremo il permesso.
вы получите разрешение (ottenere il permesso);Voi otterrete il permesso.
они получат разрешение (ottenere il permesso);Loro otterranno il permesso.
я успею получить разрешение (ottenere il permesso);Io avrò ottenuto il permesso.
ты успеешь получить разрешение (ottenere il permesso);Tu avrai ottenuto il permesso.
он успеет получить разрешение (ottenere il permesso);Lui avrà ottenuto il permesso.
она успеет получить разрешение (ottenere il permesso);Lei avrà ottenuto il permesso.
мы успеем получить разрешение (ottenere il permesso);Noi avremo ottenuto il permesso.
вы успеете получить разрешение (ottenere il permesso);Voi avrete ottenuto il permesso.
они успеют получить разрешение (ottenere il permesso);Loro avranno ottenuto il permesso.
я бы получил разрешение (ottenere il permesso);Io otterrei il permesso.
ты бы получил разрешение (ottenere il permesso);Tu otterresti il permesso.
он бы получил разрешение (ottenere il permesso);Lui otterrebbe il permesso.
она бы получила разрешение (ottenere il permesso);Lei otterrebbe il permesso.
мы бы получили разрешение (ottenere il permesso);Noi otterremmo il permesso.
вы бы получили разрешение (ottenere il permesso);Voi otterreste il permesso.
они бы получили разрешение (ottenere il permesso);Loro otterrebbero il permesso.
я бы получил разрешение (ottenere il permesso);Io avrei ottenuto il permesso.
ты бы получил разрешение (ottenere il permesso);Tu avresti ottenuto il permesso.
он бы получил разрешение (ottenere il permesso);Lui avrebbe ottenuto il permesso.
она бы получила разрешение (ottenere il permesso);Lei avrebbe ottenuto il permesso.
мы бы получили разрешение (ottenere il permesso);Noi avremmo ottenuto il permesso.
вы бы получили разрешение (ottenere il permesso);Voi avreste ottenuto il permesso.
они бы получили разрешение (ottenere il permesso);Loro avrebbero ottenuto il permesso.
он хочет, чтобы я получил разрешение (ottenere il permesso);Lui vuole che io ottenga il permesso.
она хочет, чтобы ты получил разрешение (ottenere il permesso);Lei vuole che tu ottenga il permesso.
я думаю, что он получит разрешение (ottenere il permesso);Io penso che lui ottenga il permesso.
мы думаем, что она получит разрешение (ottenere il permesso);Noi pensiamo che lei ottenga il permesso.
они надеются, что мы получим разрешение (ottenere il permesso);Loro sperano che noi otteniamo il permesso.
я думаю, что вы получите разрешение (ottenere il permesso);Io penso che voi otteniate il permesso.
он надеется, что они получат разрешение (ottenere il permesso);Lui spera che loro ottengano il permesso.
он хотел, чтобы я получил разрешение (ottenere il permesso);Lui voleva che io ottenessi il permesso.
она надеялась, что ты получишь разрешение (ottenere il permesso);Lei sperava che tu ottenessi il permesso.
я думал, что он получит разрешение (ottenere il permesso);Io pensavo che lui ottenesse il permesso.
мы верили, что она получит разрешение (ottenere il permesso);Noi credevamo che lei ottenesse il permesso.
они боялись, что мы получим разрешение (ottenere il permesso);Loro temevano che noi ottenessimo il permesso.
он хотел, чтобы вы получили разрешение (ottenere il permesso);Lui voleva che voi otteneste il permesso.
я думал, что они получат разрешение (ottenere il permesso);Io pensavo che loro ottenessero il permesso.
он думает, что я уже получил разрешение (ottenere il permesso);Lui pensa che io abbia ottenuto il permesso.
она надеется, что ты уже получил разрешение (ottenere il permesso);Lei spera che tu abbia ottenuto il permesso.
я думаю, что он уже получил разрешение (ottenere il permesso);Io penso che lui abbia ottenuto il permesso.
мы верим, что она уже получила разрешение (ottenere il permesso);Noi crediamo che lei abbia ottenuto il permesso.
ты сомневаешься, что мы уже получили разрешение (ottenere il permesso);Tu dubiti che noi abbiamo ottenuto il permesso.
я полагаю, что вы уже получили разрешение (ottenere il permesso);Io suppongo che voi abbiate ottenuto il permesso.
он верит, что они уже получили разрешение (ottenere il permesso);Lui crede che loro abbiano ottenuto il permesso.
я плачу от радости (piangere di gioia);Io piango di gioia.
ты плачешь от радости (piangere di gioia);Tu piangi di gioia.
он плачет от радости (piangere di gioia);Lui piange di gioia.
она плачет от радости (piangere di gioia);Lei piange di gioia.
мы плачем от радости (piangere di gioia);Noi piangiamo di gioia.
вы плачете от радости (piangere di gioia);Voi piangete di gioia.
они плачут от радости (piangere di gioia);Loro piangono di gioia.
я плакал от радости (piangere di gioia);Io piangevo di gioia.
ты плакал от радости (piangere di gioia);Tu piangevi di gioia.
он плакал от радости (piangere di gioia);Lui piangeva di gioia.
она плакала от радости (piangere di gioia);Lei piangeva di gioia.
мы плакали от радости (piangere di gioia);Noi piangevamo di gioia.
вы плакали от радости (piangere di gioia);Voi piangevate di gioia.
они плакали от радости (piangere di gioia);Loro piangevano di gioia.
я горько плакал (piangere amaramente);Io piansi amaramente.
ты горько плакал (piangere amaramente);Tu piangesti amaramente.
он горько плакал (piangere amaramente);Lui pianse amaramente.
она горько плакала (piangere amaramente);Lei pianse amaramente.
мы горько плакали (piangere amaramente);Noi piangemmo amaramente.
вы горько плакали (piangere amaramente);Voi piangeste amaramente.
они горько плакали (piangere amaramente);Loro piansero amaramente.
я заплакал (piangere) от радости (di gioia);Io ho pianto di gioia.
ты заплакал (piangere) от радости (di gioia);Tu hai pianto di gioia.
он заплакал (piangere) от радости (di gioia);Lui ha pianto di gioia.
она заплакала (piangere) от радости (di gioia);Lei ha pianto di gioia.
мы заплакали (piangere) от радости (di gioia);Noi abbiamo pianto di gioia.
вы заплакали (piangere) от радости (di gioia);Voi avete pianto di gioia.
они заплакали (piangere) от радости (di gioia);Loro hanno pianto di gioia.
я уже плакал от радости (piangere di gioia);Io avevo pianto di gioia.
ты уже плакал от радости (piangere di gioia);Tu avevi pianto di gioia.
он уже плакал от радости (piangere di gioia);Lui aveva pianto di gioia.
она уже плакала от радости (piangere di gioia);Lei aveva pianto di gioia.
мы уже плакали от радости (piangere di gioia);Noi avevamo pianto di gioia.
вы уже плакали от радости (piangere di gioia);Voi avevate pianto di gioia.
они уже плакали от радости (piangere di gioia);Loro avevano pianto di gioia.
я буду плакать от радости (piangere di gioia);Io piangerò di gioia.
ты будешь плакать от радости (piangere di gioia);Tu piangerai di gioia.
он будет плакать от радости (piangere di gioia);Lui piangerà di gioia.
она будет плакать от радости (piangere di gioia);Lei piangerà di gioia.
мы будем плакать от радости (piangere di gioia);Noi piangeremo di gioia.
вы будете плакать от радости (piangere di gioia);Voi piangerete di gioia.
они будут плакать от радости (piangere di gioia);Loro piangeranno di gioia.
я успею заплакать от радости (piangere di gioia);Io avrò pianto di gioia.
ты успеешь заплакать от радости (piangere di gioia);Tu avrai pianto di gioia.
он успеет заплакать от радости (piangere di gioia);Lui avrà pianto di gioia.
она успеет заплакать от радости (piangere di gioia);Lei avrà pianto di gioia.
мы успеем заплакать от радости (piangere di gioia);Noi avremo pianto di gioia.
вы успеете заплакать от радости (piangere di gioia);Voi avrete pianto di gioia.
они успеют заплакать от радости (piangere di gioia);Loro avranno pianto di gioia.
я бы плакал от радости (piangere di gioia);Io piangerei di gioia.
ты бы плакал от радости (piangere di gioia);Tu piangeresti di gioia.
он бы плакал от радости (piangere di gioia);Lui piangerebbe di gioia.
она бы плакала от радости (piangere di gioia);Lei piangerebbe di gioia.
мы бы плакали от радости (piangere di gioia);Noi piangeremmo di gioia.
вы бы плакали от радости (piangere di gioia);Voi piangereste di gioia.
они бы плакали от радости (piangere di gioia);Loro piangerebbero di gioia.
я бы заплакал от радости (piangere di gioia);Io avrei pianto di gioia.
ты бы заплакал от радости (piangere di gioia);Tu avresti pianto di gioia.
он бы заплакал от радости (piangere di gioia);Lui avrebbe pianto di gioia.
она бы заплакала от радости (piangere di gioia);Lei avrebbe pianto di gioia.
мы бы заплакали от радости (piangere di gioia);Noi avremmo pianto di gioia.
вы бы заплакали от радости (piangere di gioia);Voi avreste pianto di gioia.
они бы заплакали от радости (piangere di gioia);Loro avrebbero pianto di gioia.
она хочет, чтобы я плакал от радости (piangere di gioia);Lei vuole che io pianga di gioia.
он надеется, что ты будешь плакать от радости (piangere di gioia);Lui spera che tu pianga di gioia.
я думаю, что он плачет от радости (piangere di gioia);Io penso che lui pianga di gioia.
мы верим, что она плачет от радости (piangere di gioia);Noi crediamo che lei pianga di gioia.
ты думаешь, что мы будем плакать от радости (piangere di gioia);Tu pensi che noi piangiamo di gioia.
я верю, что вы будете плакать от радости (piangere di gioia);Io credo che voi piangiate di gioia.
он хочет, чтобы они плакали от радости (piangere di gioia);Lui vuole che loro piangano di gioia.
он хотел, чтобы я плакал от радости (piangere di gioia);Lui voleva che io piangessi di gioia.
она хотела, чтобы ты плакал от радости (piangere di gioia);Lei voleva che tu piangessi di gioia.
я думал, что он будет плакать от радости (piangere di gioia);Io pensavo che lui piangesse di gioia.
мы верили, что она будет плакать от радости (piangere di gioia);Noi credevamo che lei piangesse di gioia.
они надеялись, что мы будем плакать от радости (piangere di gioia);Loro speravano che noi piangessimo di gioia.
он боялся, что вы будете плакать от радости (piangere di gioia);Lui temeva che voi piangeste di gioia.
я хотел, чтобы они плакали от радости (piangere di gioia);Io volevo che loro piangessero di gioia.
она думает, что я уже плакал от радости (piangere di gioia);Lei pensa che io abbia pianto di gioia.
он надеется, что ты уже плакал от радости (piangere di gioia);Lui spero che tu abbia pianto di gioia.
я думаю, что он уже плакал от радости (piangere di gioia);Io penso che lui abbia pianto di gioia.
мы верим, что она уже плакала от радости (piangere di gioia);Noi crediamo che lei abbia pianto di gioia.
ты сомневаешься, что мы уже плакали от радости (piangere di gioia);Tu dubiti che noi abbiamo pianto di gioia.
они полагают, что вы уже плакали от радости (piangere di gioia);Loro suppongono che voi abbiate pianto di gioia.
я верю, что они уже плакали от радости (piangere di gioia);Io credo che loro abbiano pianto di gioia.
я вожу машину (l'auto);Io guido l'auto.
ты водишь машину (l'auto);Tu guidi l'auto.
он водит машину (l'auto);Lui guida l'auto.
она водит машину (l'auto);Lei guida l'auto.
мы водим машину (l'auto);Noi guidiamo l'auto.
вы водите машину (l'auto);Voi guidate l'auto.
они водят машину (l'auto);Loro guidano l'auto.
я водил машину (guidare l'auto);Io guidavo l'auto.
ты водил машину (guidare l'auto);Tu guidavi l'auto.
он водил машину (guidare l'auto);Lui guidava l'auto.
она водила машину (guidare l'auto);Lei guidava l'auto.
мы водили машину (guidare l'auto);Noi guidavamo l'auto.
вы водили машину (guidare l'auto);Voi guidavate l'auto.
они водили машину (guidare l'auto);Loro guidavano l'auto.
я вел машину (guidare l'auto);Io guidai l'auto.
ты вел машину (guidare l'auto);Tu guidasti l'auto.
он вел машину (guidare l'auto);Lui guidò l'auto.
она вела машину (guidare l'auto);Lei guidò l'auto.
мы вели машину (guidare l'auto);Noi guidammo l'auto.
вы вели машину (guidare l'auto);Voi guidaste l'auto.
они вели машину (guidare l'auto);Loro guidarono l'auto.
я водил машину (guidare l'auto);Io ho guidato l'auto.
ты водил машину (guidare l'auto);Tu hai guidato l'auto.
он водил машину (guidare l'auto);Lui ha guidato l'auto.
она водила машину (guidare l'auto);Lei ha guidato l'auto.
мы водили машину (guidare l'auto);Noi abbiamo guidato l'auto.
вы водили машину (guidare l'auto);Voi avete guidato l'auto.
они водили машину (guidare l'auto);Loro hanno guidato l'auto.
я уже вел машину (guidare l'auto);Io avevo guidato l'auto.
ты уже вел машину (guidare l'auto);Tu avevi guidato l'auto.
он уже вел машину (guidare l'auto);Lui aveva guidato l'auto.
она уже вела машину (guidare l'auto);Lei aveva guidato l'auto.
мы уже вели машину (guidare l'auto);Noi avevamo guidato l'auto.
вы уже вели машину (guidare l'auto);Voi avevate guidato l'auto.
они уже вели машину (guidare l'auto);Loro avevano guidato l'auto.
я буду вести машину (guidare l'auto);Io guiderò l'auto.
ты будешь вести машину (guidare l'auto);Tu guiderai l'auto.
он будет вести машину (guidare l'auto);Lui guiderà l'auto.
она будет вести машину (guidare l'auto);Lei guiderà l'auto.
мы будем вести машину (guidare l'auto);Noi guideremo l'auto.
вы будете вести машину (guidare l'auto);Voi guiderete l'auto.
они будут вести машину (guidare l'auto);Loro guideranno l'auto.
я успею вести машину (guidare l'auto);Io avrò guidato l'auto.
ты успеешь вести машину (guidare l'auto);Tu avrai guidato l'auto.
он успеет вести машину (guidare l'auto);Lui avrà guidato l'auto.
она успеет вести машину (guidare l'auto);Lei avrà guidato l'auto.
мы успеем вести машину (guidare l'auto);Noi avremo guidato l'auto.
вы успеете вести машину (guidare l'auto);Voi avrete guidato l'auto.
они успеют вести машину (guidare l'auto);Loro avranno guidato l'auto.
я бы водил машину (guidare l'auto);Io guiderei l'auto.
ты бы водил машину (guidare l'auto);Tu guideresti l'auto.
он бы водил машину (guidare l'auto);Lui guiderebbe l'auto.
она бы водила машину (guidare l'auto);Lei guiderebbe l'auto.
мы бы водили машину (guidare l'auto);Noi guideremmo l'auto.
вы бы водили машину (guidare l'auto);Voi guidereste l'auto.
они бы водили машину (guidare l'auto);Loro guiderebbero l'auto.
я бы водил машину (guidare l'auto);Io avrei guidato l'auto.
ты бы водил машину (guidare l'auto);Tu avresti guidato l'auto.
он бы водил машину (guidare l'auto);Lui avrebbe guidato l'auto.
она бы водила машину (guidare l'auto);Lei avrebbe guidato l'auto.
мы бы водили машину (guidare l'auto);Noi avremmo guidato l'auto.
вы бы водили машину (guidare l'auto);Voi avreste guidato l'auto.
они бы водили машину (guidare l'auto);Loro avrebbero guidato l'auto.
она хочет, чтобы я вел машину (guidare l'auto);Lei vuole che io guidi l'auto.
он хочет, чтобы ты вел машину (guidare l'auto);Lui vuole che tu guidi l'auto.
я думаю, что он ведет машину (guidare l'auto);Io penso che lui guidi l'auto.
мы думаем, что она ведет машину (guidare l'auto);Noi pensiamo che lei guidi l'auto.
